1	100	0.044	0.118	10619	1.85509	0.045	0.057	9857	1.14283
2	200	0.088	0.24	10619	1.85435	0.09	0.106	9857	1.14285
3	300	0.13	0.36	10619	1.85308	0.137	0.162	9857	1.14285
4	400	0.169	0.486	10619	1.85427	0.179	0.216	9857	1.14285
5	500	0.211	0.595	10619	1.85405	0.244	0.271	9857	1.14285
6	600	0.251	0.746	10619	1.85409	0.297	0.316	9857	1.14285
7	700	0.298	0.844	10619	1.85424	0.322	0.352	9857	1.14286
8	800	0.34	0.997	10619	1.85403	0.344	0.426	9857	1.14285
9	900	0.389	1.055	10619	1.85419	0.424	0.495	9857	1.14285
10	1024	0.43	1.262	10619	1.85567	0.476	0.553	9857	1.14285
11	2048	0.858	2.551	10619	1.85567	0.945	1.096	9857	1.14286
12	3072	1.308	3.839	10619	1.85568	1.409	1.662	9857	1.14286
13	4096	1.845	5.024	10619	1.85568	1.785	2.171	9857	1.14286
14	5120	2.224	6.275	10619	1.85568	2.3	2.603	9857	1.14286
15	6144	2.569	6.271	10619	1.85568	2.712	3.151	9857	1.14286
16	7168	3.131	7.831	10619	1.85568	2.825	3.546	9857	1.14286
17	8192	3.455	10.474	10619	1.85568	3.757	4.293	9857	1.14286
18	9216	3.934	11.123	10619	1.85569	4.145	4.746	9857	1.14286
19	10240	4.499	11.035	10619	1.85568	4.536	4.994	9857	1.14286
