1	100	0.057	0.134	7067	1.55266	0.052	0.057	6527	1.3333
2	200	0.094	0.266	7067	1.55268	0.088	0.106	6527	1.33332
3	300	0.143	0.385	7067	1.55271	0.151	0.165	6527	1.33332
4	400	0.184	0.523	7067	1.55273	0.184	0.214	6527	1.33333
5	500	0.228	0.653	7067	1.55273	0.238	0.261	6527	1.33333
6	600	0.258	0.78	7067	1.55273	0.277	0.32	6527	1.33333
7	700	0.299	0.947	7067	1.55273	0.313	0.363	6527	1.33333
8	800	0.34	1.035	7067	1.55274	0.343	0.497	6527	1.33333
9	900	0.393	1.141	7067	1.55273	0.395	0.468	6527	1.33333
10	1024	0.443	1.319	7067	1.55274	0.446	0.521	6527	1.33333
11	2048	0.641	1.914	7067	1.55274	0.839	1.029	6527	1.33333
12	3072	0.872	2.732	7067	1.55274	0.833	1.089	6527	1.33333
13	4096	0.963	2.97	7067	1.55274	1.29	2.044	6527	1.33333
14	5120	1.713	5.519	7067	1.55274	2.079	2.618	6527	1.33333
15	6144	2.18	6.015	7067	1.55274	2.491	3.11	6527	1.33333
16	7168	2.755	8.4	7067	1.55274	2.905	3.604	6527	1.33333
17	8192	3.142	9.808	7067	1.55274	3.462	4.115	6527	1.33333
18	9216	3.518	11.009	7067	1.55274	3.909	3.166	6527	1.33333
19	10240	4.136	11.581	7067	1.55274	4.279	5.036	6527	1.33333
