1	100	0.118	0.026	13142	1.46962	0.142	0.029	13142	1.33845
2	200	0.241	0.04	13142	1.47081	0.293	0.043	13142	1.33973
3	300	0.356	0.054	13142	1.47311	0.437	0.06	13142	1.3419
4	400	0.489	0.071	13142	1.47661	0.588	0.078	13142	1.34467
5	500	0.596	0.097	13142	1.47772	0.714	0.095	13142	1.34618
6	600	0.707	0.1	13142	1.47748	1.281	0.115	13142	1.34597
7	700	0.821	0.115	13142	1.47646	1.031	0.129	13142	1.34503
8	800	0.96	0.129	13142	1.47792	1.135	0.139	13142	1.34639
9	900	1.115	0.145	13142	1.47685	1.271	0.16	13142	1.34541
10	1024	1.22	0.163	13142	1.47053	1.477	0.18	13142	1.3368
11	2048	2.394	0.313	13142	1.47056	2.895	0.359	13142	1.33686
12	3072	3.612	0.488	13142	1.47057	4.349	0.551	13142	1.33687
13	4096	4.806	0.746	13142	1.47058	5.743	0.737	13142	1.33688
14	5120	6.125	0.774	13142	1.47058	7.196	0.885	13142	1.33689
15	6144	5.678	0.922	13142	1.47058	8.684	1.061	13142	1.33689
16	7168	8.39	1.127	13142	1.47058	10.119	1.232	13142	1.33689
17	8192	9.483	1.249	13142	1.47058	11.643	1.422	13142	1.33689
18	9216	9.161	1.395	13142	1.47049	13.055	1.61	13142	1.33681
19	10240	10.623	1.565	13142	1.47058	14.396	1.781	13142	1.33689
