1	100	    0.036	0.093	1961	2.03385	0.027	0.015	13142	81.5207	0.057	0.016	259700	20.552	0.056	0.107	15103	125.632
2	200	    0.066	0.173	1961	2.03388	0.049	0.021	13142	83.3856	0.116	0.017	370072	28.6027	0.094	0.208	15103	141.043
3	300	    0.098	0.257	1961	2.03387	0.073	0.026	13142	84.0263	0.18	0.021	454736	34.7865	0.13	0.292	15103	146.986
4	400	    0.137	0.355	1961	2.03389	0.096	0.032	13142	84.3472	0.242	0.025	526024	40.0068	0.171	0.371	15103	150.253
5	500	    0.169	0.431	1961	2.03389	0.118	0.053	13142	84.5434	0.32	0.03	588952	44.5989	0.202	0.486	15103	152.108
6	600	    0.208	0.541	1961	2.03388	0.152	0.047	13142	84.6748	0.365	0.034	645800	48.7542	0.245	0.516	15103	153.562
7	700	    0.254	0.625	1961	2.03389	0.183	0.05	13142	84.767	0.421	0.037	698088	52.5737	0.281	0.662	15103	154.481
8	800	    0.277	0.714	1961	2.03389	0.193	0.054	13142	84.8379	0.501	0.045	746728	56.1323	0.335	0.749	15103	155.239
9	900	    0.301	0.792	1961	2.03389	0.215	0.059	13142	84.8931	0.571	0.044	792480	59.4696	0.361	0.847	15103	155.886
10	1024	0.342	0.876	1961	2.03389	0.241	0.066	13142	84.9461	0.634	0.049	845832	63.358	0.402	0.932	15103	156.41
11	2048	0.782	1.801	1961	2.0339	0.508	0.127	13142	85.1392	1.339	0.093	1198928	89.1683	0.857	1.841	15103	158.527
12	3072	1.085	2.662	1961	2.0339	0.75	0.18	13142	85.2038	2.262	0.136	1469924	108.969	1.157	2.732	15103	159.245
13	4096	1.446	3.627	1961	2.0339	0.963	0.232	13142	85.2361	2.902	0.173	1698248	125.676	1.686	4.012	15103	159.588
14	5120	1.75	4.235	1961	2.0339	1.182	0.281	13142	85.2555	3.615	0.205	1899496	140.387	1.961	4.321	15103	159.805
15	6144	2.199	5.091	1961	2.0339	1.421	0.336	13142	85.2685	4.396	0.255	2081440	153.686	2.508	5.425	15103	159.958
16	7168	2.599	5.751	1961	2.0339	1.68	0.383	13142	85.2777	5.284	0.316	2248792	165.914	2.942	6.207	15103	160.053
17	8192	2.842	6.883	1961	2.0339	1.931	0.448	13142	85.2847	5.307	0.331	2404592	177.293	3.115	7.387	15103	160.134
18	9216	3.182	7.844	1961	2.0339	2.238	0.516	13142	85.2901	6.38	0.376	2550816	187.988	3.508	8.38	15103	160.196
19	10240	3.761	8.612	1961	2.0339	2.371	0.564	13142	85.2944	7.256	0.421	2689136	198.102	4.112	8.947	15103	160.239
